"","X","dog","condition","delay","ic_errors","other_errors","box_errors","xx","condition_order","dias_total","age","xage"
"1",1,"akela","buzzerdelay",3,1,9,4,58,2,0.58,2.25,225
"2",2,"akela","buzzerdelay",6,4,4,4,58,2,0.58,2.25,225
"3",3,"akela","buzzerdelay",9,3,6,4,58,2,0.58,2.25,225
"4",4,"akela","partnerdelay",3,1,1,4,58,3,0.58,2.25,225
"5",5,"akela","partnerdelay",6,11,0,4,58,3,0.58,2.25,225
"6",6,"akela","partnerdelay",9,5,1,4,58,3,0.58,2.25,225
"7",7,"akela","pressingdelay",3,12,1,4,58,1,0.58,2.25,225
"8",8,"akela","pressingdelay",6,12,5,4,58,1,0.58,2.25,225
"9",9,"akela","pressingdelay",9,18,2,4,58,1,0.58,2.25,225
"10",10,"amy","buzzerdelay",3,2,8,4,51,4,0.51,9.65,965
"11",11,"amy","buzzerdelay",6,2,8,4,51,4,0.51,9.65,965
"12",12,"amy","buzzerdelay",9,1,10,4,51,4,0.51,9.65,965
"13",13,"amy","partnerdelay",3,2,7,4,51,1,0.51,9.65,965
"14",14,"amy","partnerdelay",6,5,5,4,51,1,0.51,9.65,965
"15",15,"amy","partnerdelay",9,7,4,4,51,1,0.51,9.65,965
"16",16,"amy","pressingdelay",3,7,8,4,51,3,0.51,9.65,965
"17",17,"amy","pressingdelay",6,8,9,4,51,3,0.51,9.65,965
"18",18,"amy","pressingdelay",9,10,7,4,51,3,0.51,9.65,965
"19",19,"asta","buzzerdelay",3,0,2,9,51,3,0.51,1.1,110
"20",20,"asta","buzzerdelay",6,2,5,9,51,3,0.51,1.1,110
"21",21,"asta","buzzerdelay",9,5,6,9,51,3,0.51,1.1,110
"22",22,"asta","partnerdelay",3,0,17,9,51,2,0.51,1.1,110
"23",23,"asta","partnerdelay",6,2,17,9,51,2,0.51,1.1,110
"24",24,"asta","partnerdelay",9,0,19,9,51,2,0.51,1.1,110
"25",25,"asta","pressingdelay",3,2,1,9,51,4,0.51,1.1,110
"26",26,"asta","pressingdelay",6,2,1,9,51,4,0.51,1.1,110
"27",27,"asta","pressingdelay",9,5,1,9,51,4,0.51,1.1,110
"28",28,"candy","buzzerdelay",3,14,1,4,68,1,0.68,12.4,1240
"29",29,"candy","buzzerdelay",6,21,1,4,68,1,0.68,12.4,1240
"30",30,"candy","buzzerdelay",9,24,0,4,68,1,0.68,12.4,1240
"31",31,"candy","partnerdelay",3,3,6,4,68,2,0.68,12.4,1240
"32",32,"candy","partnerdelay",6,14,7,4,68,2,0.68,12.4,1240
"33",33,"candy","partnerdelay",9,13,10,4,68,2,0.68,12.4,1240
"34",34,"candy","pressingdelay",3,3,7,4,68,4,0.68,12.4,1240
"35",35,"candy","pressingdelay",6,10,5,4,68,4,0.68,12.4,1240
"36",36,"candy","pressingdelay",9,18,3,4,68,4,0.68,12.4,1240
"37",37,"csilla","buzzerdelay",3,5,8,0,40,4,0.4,9.75,975
"38",38,"csilla","buzzerdelay",6,11,3,0,40,4,0.4,9.75,975
"39",39,"csilla","buzzerdelay",9,21,4,0,40,4,0.4,9.75,975
"40",40,"csilla","partnerdelay",3,4,2,0,40,2,0.4,9.75,975
"41",41,"csilla","partnerdelay",6,8,2,0,40,2,0.4,9.75,975
"42",42,"csilla","partnerdelay",9,11,3,0,40,2,0.4,9.75,975
"43",43,"csilla","pressingdelay",3,13,2,0,40,1,0.4,9.75,975
"44",44,"csilla","pressingdelay",6,24,2,0,40,1,0.4,9.75,975
"45",45,"csilla","pressingdelay",9,22,1,0,40,1,0.4,9.75,975
"46",46,"finley","buzzerdelay",3,1,7,4,63,3,0.63,2.25,225
"47",47,"finley","buzzerdelay",6,5,5,4,63,3,0.63,2.25,225
"48",48,"finley","buzzerdelay",9,5,6,4,63,3,0.63,2.25,225
"49",49,"finley","partnerdelay",3,0,2,4,63,1,0.63,2.25,225
"50",50,"finley","partnerdelay",6,9,1,4,63,1,0.63,2.25,225
"51",51,"finley","partnerdelay",9,14,3,4,63,1,0.63,2.25,225
"52",52,"finley","pressingdelay",3,0,12,4,63,2,0.63,2.25,225
"53",53,"finley","pressingdelay",6,1,3,4,63,2,0.63,2.25,225
"54",54,"finley","pressingdelay",9,12,3,4,63,2,0.63,2.25,225
"55",55,"flora","buzzerdelay",3,3,12,6,71,1,0.71,1.25,125
"56",56,"flora","buzzerdelay",6,7,13,6,71,1,0.71,1.25,125
"57",57,"flora","buzzerdelay",9,8,10,6,71,1,0.71,1.25,125
"58",58,"flora","partnerdelay",3,1,3,6,71,3,0.71,1.25,125
"59",59,"flora","partnerdelay",6,2,6,6,71,3,0.71,1.25,125
"60",60,"flora","partnerdelay",9,2,3,6,71,3,0.71,1.25,125
"61",61,"flora","pressingdelay",3,0,6,6,71,4,0.71,1.25,125
"62",62,"flora","pressingdelay",6,1,5,6,71,4,0.71,1.25,125
"63",63,"flora","pressingdelay",9,3,4,6,71,4,0.71,1.25,125
"64",64,"gryffindor","buzzerdelay",3,8,1,6,43,3,0.43,1.35,135
"65",65,"gryffindor","buzzerdelay",6,18,1,6,43,3,0.43,1.35,135
"66",66,"gryffindor","buzzerdelay",9,21,1,6,43,3,0.43,1.35,135
"67",67,"gryffindor","partnerdelay",3,4,3,6,43,4,0.43,1.35,135
"68",68,"gryffindor","partnerdelay",6,5,2,6,43,4,0.43,1.35,135
"69",69,"gryffindor","partnerdelay",9,10,2,6,43,4,0.43,1.35,135
"70",70,"gryffindor","pressingdelay",3,10,2,6,43,1,0.43,1.35,135
"71",71,"gryffindor","pressingdelay",6,12,1,6,43,1,0.43,1.35,135
"72",72,"gryffindor","pressingdelay",9,20,2,6,43,1,0.43,1.35,135
"73",73,"hetti","buzzerdelay",3,1,5,2,64,4,0.64,0.75,75
"74",74,"hetti","buzzerdelay",6,5,5,2,64,4,0.64,0.75,75
"75",75,"hetti","buzzerdelay",9,8,6,2,64,4,0.64,0.75,75
"76",76,"hetti","partnerdelay",3,1,5,2,64,3,0.64,0.75,75
"77",77,"hetti","partnerdelay",6,8,7,2,64,3,0.64,0.75,75
"78",78,"hetti","partnerdelay",9,15,4,2,64,3,0.64,0.75,75
"79",79,"hetti","pressingdelay",3,7,4,2,64,1,0.64,0.75,75
"80",80,"hetti","pressingdelay",6,15,3,2,64,1,0.64,0.75,75
"81",81,"hetti","pressingdelay",9,16,3,2,64,1,0.64,0.75,75
"82",82,"pablo","buzzerdelay",3,13,1,4,48,1,0.48,2.95,295
"83",83,"pablo","buzzerdelay",6,18,0,4,48,1,0.48,2.95,295
"84",84,"pablo","buzzerdelay",9,23,0,4,48,1,0.48,2.95,295
"85",85,"pablo","partnerdelay",3,3,13,4,48,3,0.48,2.95,295
"86",86,"pablo","partnerdelay",6,4,10,4,48,3,0.48,2.95,295
"87",87,"pablo","partnerdelay",9,8,8,4,48,3,0.48,2.95,295
"88",88,"pablo","pressingdelay",3,16,1,4,48,2,0.48,2.95,295
"89",89,"pablo","pressingdelay",6,21,0,4,48,2,0.48,2.95,295
"90",90,"pablo","pressingdelay",9,20,1,4,48,2,0.48,2.95,295
"91",91,"lenny","buzzerdelay",3,4,2,10,56,2,0.56,10.75,1075
"92",92,"lenny","buzzerdelay",6,13,3,10,56,2,0.56,10.75,1075
"93",93,"lenny","buzzerdelay",9,17,3,10,56,2,0.56,10.75,1075
"94",94,"lenny","partnerdelay",3,10,0,10,56,3,0.56,10.75,1075
"95",95,"lenny","partnerdelay",6,15,2,10,56,3,0.56,10.75,1075
"96",96,"lenny","partnerdelay",9,11,0,10,56,3,0.56,10.75,1075
"97",97,"lenny","pressingdelay",3,6,1,10,56,4,0.56,10.75,1075
"98",98,"lenny","pressingdelay",6,4,2,10,56,4,0.56,10.75,1075
"99",99,"lenny","pressingdelay",9,17,1,10,56,4,0.56,10.75,1075
"100",100,"loki","buzzerdelay",3,6,5,2,61,3,0.61,2.5,250
"101",101,"loki","buzzerdelay",6,6,2,2,61,3,0.61,2.5,250
"102",102,"loki","buzzerdelay",9,9,4,2,61,3,0.61,2.5,250
"103",103,"loki","partnerdelay",3,6,3,2,61,2,0.61,2.5,250
"104",104,"loki","partnerdelay",6,12,4,2,61,2,0.61,2.5,250
"105",105,"loki","partnerdelay",9,10,4,2,61,2,0.61,2.5,250
"106",106,"loki","pressingdelay",3,9,0,2,61,1,0.61,2.5,250
"107",107,"loki","pressingdelay",6,23,1,2,61,1,0.61,2.5,250
"108",108,"loki","pressingdelay",9,27,0,2,61,1,0.61,2.5,250
"109",109,"nikki","buzzerdelay",3,5,4,9,48,1,0.48,3.6,360
"110",110,"nikki","buzzerdelay",6,16,0,9,48,1,0.48,3.6,360
"111",111,"nikki","buzzerdelay",9,11,5,9,48,1,0.48,3.6,360
"112",112,"nikki","partnerdelay",3,2,3,9,48,4,0.48,3.6,360
"113",113,"nikki","partnerdelay",6,3,5,9,48,4,0.48,3.6,360
"114",114,"nikki","partnerdelay",9,8,4,9,48,4,0.48,3.6,360
"115",115,"nikki","pressingdelay",3,9,4,9,48,2,0.48,3.6,360
"116",116,"nikki","pressingdelay",6,12,5,9,48,2,0.48,3.6,360
"117",117,"nikki","pressingdelay",9,10,6,9,48,2,0.48,3.6,360
"118",118,"ruby","buzzerdelay",3,3,0,10,57,4,0.57,3.85,385
"119",119,"ruby","buzzerdelay",6,5,3,10,57,4,0.57,3.85,385
"120",120,"ruby","buzzerdelay",9,12,4,10,57,4,0.57,3.85,385
"121",121,"ruby","partnerdelay",3,8,3,10,57,2,0.57,3.85,385
"122",122,"ruby","partnerdelay",6,17,3,10,57,2,0.57,3.85,385
"123",123,"ruby","partnerdelay",9,18,2,10,57,2,0.57,3.85,385
"124",124,"ruby","pressingdelay",3,10,2,10,57,3,0.57,3.85,385
"125",125,"ruby","pressingdelay",6,9,3,10,57,3,0.57,3.85,385
"126",126,"ruby","pressingdelay",9,13,4,10,57,3,0.57,3.85,385
"127",127,"sahibu","buzzerdelay",3,3,6,3,48,2,0.48,5.8,580
"128",128,"sahibu","buzzerdelay",6,1,5,3,48,2,0.48,5.8,580
"129",129,"sahibu","buzzerdelay",9,5,11,3,48,2,0.48,5.8,580
"130",130,"sahibu","partnerdelay",3,1,1,3,48,4,0.48,5.8,580
"131",131,"sahibu","partnerdelay",6,1,0,3,48,4,0.48,5.8,580
"132",132,"sahibu","partnerdelay",9,3,2,3,48,4,0.48,5.8,580
"133",133,"sahibu","pressingdelay",3,1,8,3,48,3,0.48,5.8,580
"134",134,"sahibu","pressingdelay",6,5,7,3,48,3,0.48,5.8,580
"135",135,"sahibu","pressingdelay",9,8,4,3,48,3,0.48,5.8,580
"136",136,"samira","buzzerdelay",3,0,0,9,56,2,0.56,5.45,545
"137",137,"samira","buzzerdelay",6,4,1,9,56,2,0.56,5.45,545
"138",138,"samira","buzzerdelay",9,14,1,9,56,2,0.56,5.45,545
"139",139,"samira","partnerdelay",3,5,0,9,56,1,0.56,5.45,545
"140",140,"samira","partnerdelay",6,8,0,9,56,1,0.56,5.45,545
"141",141,"samira","partnerdelay",9,17,0,9,56,1,0.56,5.45,545
"142",142,"samira","pressingdelay",3,5,1,9,56,3,0.56,5.45,545
"143",143,"samira","pressingdelay",6,7,3,9,56,3,0.56,5.45,545
"144",144,"samira","pressingdelay",9,7,3,9,56,3,0.56,5.45,545
"145",145,"sammie","buzzerdelay",3,0,11,1,63,2,0.63,3.65,365
"146",146,"sammie","buzzerdelay",6,2,13,1,63,2,0.63,3.65,365
"147",147,"sammie","buzzerdelay",9,4,9,1,63,2,0.63,3.65,365
"148",148,"sammie","partnerdelay",3,2,20,1,63,1,0.63,3.65,365
"149",149,"sammie","partnerdelay",6,2,20,1,63,1,0.63,3.65,365
"150",150,"sammie","partnerdelay",9,6,20,1,63,1,0.63,3.65,365
"151",151,"sammie","pressingdelay",3,0,6,1,63,4,0.63,3.65,365
"152",152,"sammie","pressingdelay",6,2,4,1,63,4,0.63,3.65,365
"153",153,"sammie","pressingdelay",9,1,6,1,63,4,0.63,3.65,365
"154",154,"sheila","buzzerdelay",3,1,2,0,59,4,0.59,6.8,680
"155",155,"sheila","buzzerdelay",6,14,0,0,59,4,0.59,6.8,680
"156",156,"sheila","buzzerdelay",9,12,1,0,59,4,0.59,6.8,680
"157",157,"sheila","partnerdelay",3,1,2,0,59,1,0.59,6.8,680
"158",158,"sheila","partnerdelay",6,18,1,0,59,1,0.59,6.8,680
"159",159,"sheila","partnerdelay",9,22,1,0,59,1,0.59,6.8,680
"160",160,"sheila","pressingdelay",3,16,1,0,59,2,0.59,6.8,680
"161",161,"sheila","pressingdelay",6,24,1,0,59,2,0.59,6.8,680
"162",162,"sheila","pressingdelay",9,25,0,0,59,2,0.59,6.8,680
"163",163,"sixtus","buzzerdelay",3,0,10,5,60,3,0.6,2.95,295
"164",164,"sixtus","buzzerdelay",6,4,4,5,60,3,0.6,2.95,295
"165",165,"sixtus","buzzerdelay",9,14,4,5,60,3,0.6,2.95,295
"166",166,"sixtus","partnerdelay",3,3,3,5,60,4,0.6,2.95,295
"167",167,"sixtus","partnerdelay",6,6,3,5,60,4,0.6,2.95,295
"168",168,"sixtus","partnerdelay",9,14,2,5,60,4,0.6,2.95,295
"169",169,"sixtus","pressingdelay",3,14,7,5,60,2,0.6,2.95,295
"170",170,"sixtus","pressingdelay",6,15,1,5,60,2,0.6,2.95,295
"171",171,"sixtus","pressingdelay",9,20,0,5,60,2,0.6,2.95,295
"172",172,"tiara","buzzerdelay",3,16,0,9,42,1,0.42,6.45,645
"173",173,"tiara","buzzerdelay",6,24,1,9,42,1,0.42,6.45,645
"174",174,"tiara","buzzerdelay",9,21,0,9,42,1,0.42,6.45,645
"175",175,"tiara","partnerdelay",3,7,0,9,42,4,0.42,6.45,645
"176",176,"tiara","partnerdelay",6,15,0,9,42,4,0.42,6.45,645
"177",177,"tiara","partnerdelay",9,22,0,9,42,4,0.42,6.45,645
"178",178,"tiara","pressingdelay",3,8,1,9,42,3,0.42,6.45,645
"179",179,"tiara","pressingdelay",6,15,0,9,42,3,0.42,6.45,645
"180",180,"tiara","pressingdelay",9,18,2,9,42,3,0.42,6.45,645
